scope,model,resampling,split,precision,recall,f1,roc_auc,pr_auc
combined,random_forest_tuned,none,validation,0.47452471482889735,0.482225656877898,0.47834419317746263,0.4777731932264381,0.46938699036481346
combined,random_forest_tuned,none,test,0.5309579439252337,0.6572668112798264,0.5873990306946688,0.535162317555609,0.5475645504436937
combined,hist_gradient_boosting_tuned,none,validation,0.47389033942558745,0.5610510046367851,0.5138004246284501,0.4697340697174977,0.45902261487695195
combined,hist_gradient_boosting_tuned,none,test,0.5252306022788931,0.6999276934201012,0.6001239925604464,0.5217878563298713,0.5436389727820055
intraday,random_forest_tuned,none,validation,0.4806800618238022,0.6366427840327533,0.5477763099955967,0.48645860666163243,0.4833329247770058
intraday,random_forest_tuned,none,test,0.5217391304347826,0.7297297297297297,0.6084507042253521,0.514667008442942,0.5403810332762164
intraday,hist_gradient_boosting_tuned,none,validation,0.48713235294117646,0.5424769703172978,0.513317191283293,0.4966654782101846,0.49708268031094643
intraday,hist_gradient_boosting_tuned,none,test,0.5088458298230834,0.583011583011583,0.5434098065677013,0.4936788077348244,0.5147799607613598
overnight,random_forest_tuned,none,validation,0.5582417582417583,0.7134831460674157,0.6263871763255241,0.5404856832185574,0.5650721441392088
overnight,random_forest_tuned,none,test,0.5080645161290323,0.7659574468085106,0.610909090909091,0.5130644972175371,0.5032513265851946
overnight,hist_gradient_boosting_tuned,none,validation,0.5475638051044084,0.6629213483146067,0.5997458703939009,0.5073939833272925,0.5380581569711225
overnight,hist_gradient_boosting_tuned,none,test,0.4809843400447427,0.6534954407294833,0.5541237113402062,0.4799816005700216,0.4919455127779825
